created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2017-10-21 04:31:00 UTC,1,JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ,JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ,JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ,JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ,JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ,4,4,4
2017-10-21 04:31:22 UTC,2,JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ,JJJJJJJJJJJJJJJJJJJJJJJJJIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,4,3,3
2017-10-21 04:31:44 UTC,3,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,3,3,3
2017-10-21 04:32:06 UTC,4,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,3,3,3
2017-10-21 04:32:29 UTC,5,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,3,3,3
2017-10-21 04:32:51 UTC,6,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,3,3,3
2017-10-21 04:33:14 UTC,7,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,3,3,3
2017-10-21 04:33:36 UTC,8,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,0,0,3
2017-10-21 04:33:58 UTC,9,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIJJJ,JIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIJIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,3,3,3
2017-10-21 04:34:19 UTC,10,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,IIIIIIIJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ,JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJLLLLLJJJJJ,JJJJIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,3,3,4
