Altitude (m)	Latitude	Longitude	WindF (m/s)	T (¡ÆC)	Dir (¡Æ)	RH	Distance (km)	Time (s)	
+00079.540001	+35.845013	+128.627014	+09.030000	+08.480000	307.7	014.000000	+00.000000	0	
+00243.990005	+35.844963	+128.627075	+04.630057	+08.430000	283.3	014.000000	+00.000000	1	
+00248.740005	+35.844933	+128.627136	+04.517360	+08.410000	282.9	014.100000	+00.000000	2	
+00253.479996	+35.844913	+128.627197	+04.444780	+08.380000	282.8	014.000000	+00.000000	3	
+00258.059998	+35.844929	+128.627258	+04.401934	+08.360000	282.7	014.000000	+00.000000	4	
+00261.890015	+35.844963	+128.627304	+04.366885	+08.340000	282.6	014.000000	+00.000000	5	
+00266.049988	+35.844997	+128.627319	+04.012983	+08.290000	277.5	014.100000	+00.000000	6	
+00270.320007	+35.845024	+128.627319	+03.995023	+08.240000	277.8	014.100000	+00.000000	7	
+00274.950012	+35.845016	+128.627304	+03.970055	+08.220000	277.9	014.200000	+00.000000	8	
+00279.450012	+35.844990	+128.627304	+03.942520	+08.170000	278.1	014.200000	+00.000000	9	
+00282.890015	+35.844944	+128.627350	+03.916844	+08.150000	278.5	014.300000	+00.000000	10	
+00286.679993	+35.844906	+128.627426	+03.894928	+08.080000	278.9	014.300000	+00.000000	11	
+00291.179993	+35.844879	+128.627518	+03.874818	+08.060000	279.2	014.300000	+00.000000	12	
+00296.239990	+35.844875	+128.627609	+03.849561	+08.030000	279.5	014.300000	+00.000000	13	
+00300.679993	+35.844898	+128.627701	+03.812848	+07.990000	279.6	014.400000	+00.000000	14	
+00305.750000	+35.844929	+128.627747	+03.762942	+07.940000	279.8	014.400000	+00.000000	15	
+00310.510010	+35.844963	+128.627777	+03.713079	+07.870000	280.0	014.500000	+00.000000	16	
+00315.269989	+35.844978	+128.627762	+03.658464	+07.820000	280.4	014.600000	+00.000000	17	
+00319.799988	+35.844967	+128.627747	+03.611762	+07.800000	281.0	014.600000	+00.000000	18	
+00323.700012	+35.844933	+128.627762	+03.587958	+07.780000	281.7	014.600000	+00.000000	19	
+00327.179993	+35.844894	+128.627823	+03.557701	+07.730000	281.9	014.700000	+00.000000	20	
+00330.809998	+35.844864	+128.627899	+03.526543	+07.730000	282.0	014.700000	+00.000000	21	
