Altitude (m)	Latitude	Longitude	WindF (m/s)	T (¡ÆC)	Dir (¡Æ)	RH	Distance (km)	Time (s)	
+00099.550003	+35.845039	+128.626114	+00.010000	+13.340000	001.3	017.000000	+00.000000	0	
+00101.269997	+35.845039	+128.626114	+01.489806	+13.110000	290.7	016.900000	+00.000000	1	
+00109.709999	+35.845100	+128.626114	+01.488835	+12.910000	290.7	017.100000	+00.000000	2	
+00114.209999	+35.845039	+128.626114	+01.488081	+12.870000	290.7	017.100000	+00.000000	3	
+00122.440002	+35.845100	+128.626114	+01.487477	+12.960000	290.6	017.600000	+00.000000	4	
+00124.370003	+35.845100	+128.626160	+01.485189	+13.010000	290.5	017.299999	+00.000000	5	
+00124.139999	+35.845039	+128.626266	+01.479527	+12.770000	290.3	017.799999	+00.000000	6	
+00124.839996	+35.844982	+128.626221	+01.469374	+12.520000	290.0	018.000000	+00.000000	7	
+00122.930000	+35.844982	+128.626114	+01.460144	+12.670000	289.8	018.400000	+00.000000	8	
+00124.419998	+35.845039	+128.626038	+01.447945	+12.620000	289.6	018.700001	+00.000000	9	
+00127.790001	+35.845100	+128.626114	+01.435903	+12.230000	289.3	018.700001	+00.000000	10	
+00129.839996	+35.845100	+128.626221	+01.423900	+12.130000	289.0	018.700001	+00.000000	11	
+00134.240005	+35.845039	+128.626221	+01.412572	+12.110000	288.7	019.200001	+00.000000	12	
+00136.699997	+35.844982	+128.626221	+01.403563	+12.030000	288.3	019.500000	+00.000000	13	
+00137.639999	+35.845039	+128.626160	+01.397680	+12.010000	288.0	019.600000	+00.000000	14	
+00138.899994	+35.845039	+128.626160	+01.391846	+12.010000	287.7	019.500000	+00.000000	15	
+00142.500000	+35.845100	+128.626221	+01.392262	+11.980000	287.4	019.500000	+00.000000	16	
+00146.429993	+35.845039	+128.626221	+01.399400	+11.930000	287.3	019.400000	+00.000000	17	
+00149.149994	+35.845039	+128.626221	+01.411005	+11.890000	287.2	019.799999	+00.000000	18	
+00152.679993	+35.845039	+128.626266	+01.423815	+11.860000	287.2	020.000000	+00.000000	19	
+00156.949997	+35.845039	+128.626266	+01.436982	+11.840000	287.1	019.799999	+00.000000	20	
+00160.119995	+35.844982	+128.626266	+01.452938	+11.760000	287.2	019.799999	+00.000000	21	
+00164.050003	+35.845039	+128.626266	+01.468776	+11.720000	287.2	019.900000	+00.000000	22	
+00168.220001	+35.845039	+128.626328	+01.482357	+11.670000	287.2	019.900000	+00.000000	23	
+00172.529999	+35.845039	+128.626328	+01.490626	+11.640000	287.2	020.000000	+00.000000	24	
+00176.300003	+35.845039	+128.626328	+01.493372	+11.620000	287.1	020.000000	+00.000000	25	
+00180.050003	+35.845039	+128.626328	+01.496122	+11.550000	287.0	019.900000	+00.000000	26	
+00183.699997	+35.845039	+128.626389	+01.497210	+11.500000	287.0	020.000000	+00.000000	27	
+00187.669998	+35.844982	+128.626389	+01.494471	+11.470000	286.9	020.100000	+00.000000	28	
+00192.169998	+35.844982	+128.626389	+01.493823	+11.430000	286.8	020.200001	+00.000000	29	
+00195.339996	+35.844982	+128.626389	+01.491056	+11.430000	286.8	020.200001	+00.000000	30	
+00198.449997	+35.844982	+128.626450	+01.492851	+11.380000	286.5	020.299999	+00.000000	31	
+00202.100006	+35.844982	+128.626450	+01.496204	+11.330000	286.4	020.400000	+00.000000	32	
+00205.899994	+35.844982	+128.626450	+01.506505	+11.330000	286.0	020.400000	+00.000000	33	
+00210.479996	+35.844982	+128.626450	+01.518539	+11.280000	286.3	020.200001	+00.000000	34	
+00214.009995	+35.844982	+128.626511	+01.521637	+11.260000	287.0	020.200001	+00.000000	35	
+00216.679993	+35.844982	+128.626511	+01.530529	+11.230000	287.0	020.299999	+00.000000	36	
+00221.050003	+35.844982	+128.626511	+01.543689	+11.180000	287.6	020.500000	+00.000000	37	
+00225.339996	+35.844982	+128.626511	+01.557014	+11.140000	288.1	020.500000	+00.000000	38	
+00229.660004	+35.844982	+128.626511	+01.574106	+11.090000	288.7	020.500000	+00.000000	39	
+00233.580002	+35.844982	+128.626511	+01.585899	+11.060000	289.1	020.000000	+00.000000	40	
+00238.119995	+35.844982	+128.626511	+01.601435	+11.020000	289.4	020.000000	+00.000000	41	
+00243.399994	+35.845039	+128.626511	+01.615841	+10.970000	290.3	020.000000	+00.000000	42	
+00247.270004	+35.844982	+128.626556	+01.629894	+10.940000	291.1	019.600000	+00.000000	43	
+00252.360001	+35.844982	+128.626556	+01.641122	+10.890000	292.0	019.600000	+00.000000	44	
+00257.790009	+35.844982	+128.626617	+01.650902	+10.870000	292.4	019.500000	+00.000000	45	
+00263.209991	+35.844982	+128.626678	+01.673615	+10.770000	292.2	020.299999	+00.000000	46	
+00268.380005	+35.844982	+128.626678	+01.699407	+10.730000	292.4	020.500000	+00.000000	47	
+00273.649994	+35.844982	+128.626678	+01.721923	+10.700000	292.2	020.700001	+00.000000	48	
+00280.190002	+35.844982	+128.626740	+01.745853	+10.630000	291.9	020.900000	+00.000000	49	
+00284.820007	+35.844982	+128.626740	+01.769308	+10.610000	291.5	021.000000	+00.000000	50	
+00289.209991	+35.844982	+128.626740	+01.804100	+10.560000	291.0	021.000000	+00.000000	51	
+00294.079987	+35.844982	+128.626740	+01.849984	+10.510000	290.7	021.200001	+00.000000	52	
+00299.609985	+35.844982	+128.626740	+01.902888	+10.460000	290.0	021.200001	+00.000000	53	
+00306.549988	+35.844982	+128.626740	+01.974009	+10.390000	289.5	021.400000	+00.000000	54	
+00313.869995	+35.844982	+128.626740	+02.046429	+10.340000	289.0	021.500000	+00.000000	55	
+00319.869995	+35.844929	+128.626740	+02.116854	+10.300000	288.5	021.700001	+00.000000	56	
+00325.679993	+35.844929	+128.626785	+02.177532	+10.230000	288.2	021.900000	+00.000000	57	
+00332.290009	+35.844929	+128.626785	+02.229292	+10.130000	288.0	022.000000	+00.000000	58	
+00339.190002	+35.844872	+128.626846	+02.277834	+10.060000	287.7	022.100000	+00.000000	59	
+00345.410004	+35.844872	+128.626907	+02.321956	+09.990000	287.6	022.200001	+00.000000	60	
+00351.640015	+35.844810	+128.626907	+02.371520	+09.920000	287.4	022.400000	+00.000000	61	
+00357.970001	+35.844810	+128.626953	+02.424681	+09.870000	287.4	022.400000	+00.000000	62	
+00364.559998	+35.844810	+128.626953	+02.475045	+09.820000	287.4	022.400000	+00.000000	63	
+00370.920013	+35.844810	+128.627029	+02.524742	+09.750000	287.4	022.500000	+00.000000	64	
+00377.809998	+35.844810	+128.627029	+02.567617	+09.660000	287.3	022.700001	+00.000000	65	
+00385.130005	+35.844810	+128.627029	+02.615664	+09.610000	287.1	022.799999	+00.000000	66	
+00390.690002	+35.844810	+128.627075	+02.667603	+09.580000	286.8	022.799999	+00.000000	67	
+00396.760010	+35.844810	+128.627075	+02.727935	+09.560000	286.4	022.900000	+00.000000	68	
+00403.369995	+35.844810	+128.627136	+02.792789	+09.510000	285.9	023.000000	+00.000000	69	
+00409.440002	+35.844810	+128.627182	+02.857900	+09.400000	285.3	022.900000	+00.000000	70	
+00416.369995	+35.844810	+128.627243	+02.917880	+09.350000	284.6	023.100000	+00.000000	71	
+00422.010010	+35.844810	+128.627243	+02.965204	+09.310000	283.8	023.100000	+00.000000	72	
+00429.660004	+35.844810	+128.627304	+03.002130	+09.210000	282.8	023.299999	+00.000000	73	
+00435.149994	+35.844810	+128.627365	+03.032665	+09.140000	281.8	023.400000	+00.000000	74	
+00442.170013	+35.844810	+128.627426	+03.059426	+09.070000	280.8	023.400000	+00.000000	75	
+00448.239990	+35.844810	+128.627426	+03.082033	+09.000000	279.9	023.400000	+00.000000	76	
+00454.660004	+35.844810	+128.627426	+03.099875	+08.980000	278.9	023.600000	+00.000000	77	
+00460.730011	+35.844810	+128.627472	+03.122447	+08.900000	278.1	023.799999	+00.000000	78	
+00467.940002	+35.844753	+128.627472	+03.146313	+08.860000	277.4	024.000000	+00.000000	79	
+00474.609985	+35.844753	+128.627472	+03.168363	+08.760000	276.8	024.200001	+00.000000	80	
+00481.380005	+35.844753	+128.627533	+03.186286	+08.690000	276.3	024.299999	+00.000000	81	
+00488.019989	+35.844753	+128.627533	+03.196634	+08.670000	275.8	024.400000	+00.000000	82	
+00495.200012	+35.844753	+128.627594	+03.201959	+08.620000	275.6	024.400000	+00.000000	83	
+00501.529999	+35.844753	+128.627655	+03.201772	+08.570000	275.4	024.500000	+00.000000	84	
+00508.779999	+35.844753	+128.627701	+03.197744	+08.500000	275.2	024.600000	+00.000000	85	
+00515.489990	+35.844753	+128.627701	+03.198313	+08.480000	275.1	024.700001	+00.000000	86	
+00522.200012	+35.844753	+128.627762	+03.202353	+08.460000	275.2	024.799999	+00.000000	87	
+00529.809998	+35.844753	+128.627823	+03.209095	+08.360000	275.3	024.900000	+00.000000	88	
